fold,category,model,R2_log,MdAPE,rho,n
0,PeopleBlogs,G_global,0.261,74.6,0.5,86
0,PeopleBlogs,C_model,0.24,68.7,0.54,86
0,Comedy,G_global,0.379,59.4,0.562,68
0,Comedy,C_model,0.392,58.0,0.615,68
0,Entertainment,G_global,0.231,80.3,0.535,246
0,Entertainment,C_model,0.227,80.0,0.529,246
0,ScienceTech,G_global,0.244,73.4,0.587,67
0,ScienceTech,C_model,0.285,74.5,0.692,67
0,Film,G_global,0.258,92.7,0.542,47
0,Film,C_model,0.233,89.7,0.573,47
0,News,G_global,-0.107,84.3,0.368,127
0,News,C_model,-0.168,87.0,0.33,127
0,Music,G_global,0.057,82.0,0.369,116
0,Music,C_model,-0.122,125.3,0.428,116
0,Pets,G_global,0.323,50.7,0.532,36
0,Pets,C_model,0.247,65.7,0.53,36
0,Education,G_global,-0.003,40.2,0.617,45
0,Education,C_model,-0.035,52.4,0.594,45
0,HowtoStyle,G_global,0.285,59.1,0.615,81
0,HowtoStyle,C_model,0.284,60.2,0.656,81
0,Sports,G_global,0.296,75.3,0.611,66
0,Sports,C_model,0.18,69.7,0.546,66
1,PeopleBlogs,G_global,0.251,60.2,0.57,59
1,PeopleBlogs,C_model,0.382,64.3,0.571,59
1,Comedy,G_global,0.561,32.8,0.726,58
1,Comedy,C_model,0.404,48.5,0.712,58
1,Entertainment,G_global,0.31,65.0,0.54,170
1,Entertainment,C_model,0.285,66.6,0.573,170
1,ScienceTech,G_global,0.252,38.7,0.623,54
1,ScienceTech,C_model,0.296,62.3,0.669,54
1,Film,G_global,0.31,65.9,0.536,33
1,Film,C_model,0.398,65.8,0.548,33
1,News,G_global,0.314,65.6,0.667,48
1,News,C_model,0.454,93.4,0.688,48
1,Music,G_global,0.429,61.2,0.555,64
1,Music,C_model,0.457,62.5,0.595,64
1,Education,G_global,0.619,25.3,0.614,36
1,Education,C_model,0.577,34.5,0.646,36
1,HowtoStyle,G_global,0.072,45.3,0.707,78
1,HowtoStyle,C_model,0.056,46.6,0.652,78
1,Sports,G_global,0.372,63.2,0.562,69
1,Sports,C_model,0.415,57.4,0.598,69
2,PeopleBlogs,G_global,0.525,63.5,0.692,42
2,PeopleBlogs,C_model,0.066,61.6,0.591,42
2,Comedy,G_global,0.255,68.3,0.736,47
2,Comedy,C_model,0.364,57.3,0.736,47
2,Entertainment,G_global,-0.19,67.3,0.504,131
2,Entertainment,C_model,-0.174,67.7,0.521,131
2,ScienceTech,G_global,-0.61,62.4,0.694,24
2,ScienceTech,C_model,-0.348,46.2,0.71,24
2,Film,G_global,0.388,24.0,0.872,20
2,Film,C_model,0.165,51.8,0.794,20
2,Music,G_global,0.061,86.6,0.414,53
2,Music,C_model,0.001,83.9,0.441,53
2,Education,G_global,0.428,57.5,0.443,28
2,Education,C_model,0.693,24.6,0.283,28
2,HowtoStyle,G_global,0.148,60.3,0.559,55
2,HowtoStyle,C_model,0.018,47.1,0.557,55
2,Sports,G_global,0.121,54.4,0.252,40
2,Sports,C_model,0.108,62.8,0.281,40
3,PeopleBlogs,G_global,0.051,77.2,0.373,42
3,PeopleBlogs,C_model,-0.008,75.3,0.328,42
3,Comedy,G_global,0.028,97.8,0.528,40
3,Comedy,C_model,0.204,48.9,0.516,40
3,Entertainment,G_global,0.038,73.7,0.382,153
3,Entertainment,C_model,0.028,80.6,0.359,153
3,ScienceTech,G_global,0.011,106.3,0.693,27
3,ScienceTech,C_model,0.389,49.4,0.624,27
3,Film,G_global,0.386,102.4,0.813,26
3,Film,C_model,0.207,129.3,0.83,26
3,Music,G_global,0.033,84.5,0.372,52
3,Music,C_model,-0.106,88.7,0.326,52
3,HowtoStyle,G_global,0.026,68.8,0.519,49
3,HowtoStyle,C_model,0.066,89.5,0.548,49
3,Sports,G_global,0.571,54.7,0.592,43
3,Sports,C_model,0.49,44.4,0.429,43
4,Comedy,G_global,0.21,115.3,0.79,37
4,Comedy,C_model,0.513,49.2,0.72,37
4,Entertainment,G_global,0.192,72.3,0.601,129
4,Entertainment,C_model,0.119,79.6,0.591,129
4,Film,G_global,0.552,61.5,0.589,22
4,Film,C_model,0.574,58.9,0.538,22
4,News,G_global,-0.141,61.8,0.413,27
4,News,C_model,-0.566,94.9,0.38,27
4,Music,G_global,0.198,94.5,0.509,51
4,Music,C_model,0.236,80.3,0.591,51
4,HowtoStyle,G_global,-1.786,75.0,0.454,30
4,HowtoStyle,C_model,-2.594,66.7,0.413,30
4,Sports,G_global,0.75,50.2,0.47,25
4,Sports,C_model,0.79,37.8,0.478,25
