fold,model,R2_log,MdAPE,rho,n
0,G_global,0.27,76.2,0.607,1029
0,C_denom,0.212,80.1,0.584,1029
0,C_model,0.235,77.2,0.598,1029
1,G_global,0.416,55.7,0.682,707
1,C_denom,0.404,60.6,0.641,707
1,C_model,0.428,59.9,0.653,707
2,G_global,0.09,65.1,0.625,474
2,C_denom,0.149,58.6,0.614,474
2,C_model,0.044,58.4,0.601,474
3,G_global,0.26,77.8,0.611,491
3,C_denom,0.291,71.3,0.609,491
3,C_model,0.275,71.2,0.604,491
4,G_global,0.388,76.3,0.696,378
4,C_denom,0.388,71.3,0.695,378
4,C_model,0.36,73.7,0.688,378
5,G_global,0.033,63.6,0.48,40
5,C_denom,-0.083,77.8,0.566,40
5,C_model,-0.078,71.0,0.502,40
