fold,mode,halflife,R2_log,MdAPE%,rho,thin_n,thin_rho
0,nonstrict,inf,0.27,76.2,0.607,183,0.788
0,nonstrict,H12,0.266,76.7,0.604,183,0.773
0,nonstrict,H6,0.254,75.6,0.593,183,0.739
0,strict,inf,0.345,76.3,0.623,183,0.737
0,strict,H12,0.335,77.8,0.613,183,0.716
0,strict,H6,0.335,77.7,0.607,183,0.678
1,nonstrict,inf,0.416,55.7,0.682,161,0.764
1,nonstrict,H12,0.399,57.5,0.668,161,0.71
1,nonstrict,H6,0.371,60.0,0.648,161,0.682
1,strict,inf,0.444,62.3,0.684,161,0.76
1,strict,H12,0.442,64.0,0.676,161,0.707
1,strict,H6,0.426,64.9,0.655,161,0.639
2,nonstrict,inf,0.09,65.1,0.625,112,0.668
2,nonstrict,H12,0.027,63.6,0.605,112,0.674
2,nonstrict,H6,0.101,61.2,0.602,112,0.643
2,strict,inf,0.325,65.3,0.626,112,0.695
2,strict,H12,0.321,67.9,0.604,112,0.641
2,strict,H6,0.337,64.3,0.593,112,0.609
3,nonstrict,inf,0.26,77.8,0.611,77,0.561
3,nonstrict,H12,0.274,79.5,0.61,77,0.545
3,nonstrict,H6,0.277,76.6,0.582,77,0.487
3,strict,inf,0.172,85.4,0.545,77,0.528
3,strict,H12,0.175,82.4,0.544,77,0.489
3,strict,H6,0.143,81.8,0.516,77,0.429
4,nonstrict,inf,0.388,76.3,0.696,57,0.681
4,nonstrict,H12,0.416,72.8,0.697,57,0.649
4,nonstrict,H6,0.43,72.4,0.691,57,0.652
4,strict,inf,0.391,78.2,0.664,57,0.702
4,strict,H12,0.369,81.4,0.656,57,0.691
4,strict,H6,0.371,82.2,0.646,57,0.628
