fold,target,method,window,alpha,n_cal,tau,coverage,mean_floor,informative_rate
0,v1,conformal,all,0.1,540,0.0767,0.906,0.617,0.555
0,v1,conformal,recent4,0.1,540,0.0767,0.906,0.617,0.555
0,v1,conformal,recent2,0.1,540,0.0767,0.906,0.617,0.555
0,v1,uncalibrated,-,0.1,0,0.1,0.862,0.776,0.642
0,v1,conformal,all,0.05,540,0.05,0.945,0.438,0.414
0,v1,conformal,recent4,0.05,540,0.05,0.945,0.438,0.414
0,v1,conformal,recent2,0.05,540,0.05,0.945,0.438,0.414
0,v1,uncalibrated,-,0.05,0,0.05,0.945,0.438,0.414
0,D4,conformal,all,0.1,540,0.0767,0.905,0.647,0.576
0,D4,conformal,recent4,0.1,540,0.0767,0.905,0.647,0.576
0,D4,conformal,recent2,0.1,540,0.0767,0.905,0.647,0.576
0,D4,uncalibrated,-,0.1,0,0.1,0.882,0.778,0.638
0,D4,conformal,all,0.05,540,0.0467,0.953,0.413,0.391
0,D4,conformal,recent4,0.05,540,0.0467,0.953,0.413,0.391
0,D4,conformal,recent2,0.05,540,0.0467,0.953,0.413,0.391
0,D4,uncalibrated,-,0.05,0,0.05,0.947,0.443,0.418
1,v1,conformal,all,0.1,765,0.1033,0.948,0.945,0.738
1,v1,conformal,recent4,0.1,765,0.1033,0.948,0.945,0.738
1,v1,conformal,recent2,0.1,474,0.1033,0.948,0.945,0.738
1,v1,uncalibrated,-,0.1,0,0.1,0.95,0.922,0.726
1,v1,conformal,all,0.05,765,0.07,0.973,0.704,0.615
1,v1,conformal,recent4,0.05,765,0.07,0.973,0.704,0.615
1,v1,conformal,recent2,0.05,474,0.0733,0.969,0.736,0.629
1,v1,uncalibrated,-,0.05,0,0.05,0.986,0.564,0.518
1,D4,conformal,all,0.1,765,0.1033,0.952,0.919,0.731
1,D4,conformal,recent4,0.1,765,0.1033,0.952,0.919,0.731
1,D4,conformal,recent2,0.1,474,0.1133,0.942,0.962,0.748
1,D4,uncalibrated,-,0.1,0,0.1,0.953,0.902,0.728
1,D4,conformal,all,0.05,765,0.07,0.977,0.716,0.615
1,D4,conformal,recent4,0.05,765,0.07,0.977,0.716,0.615
1,D4,conformal,recent2,0.05,474,0.0733,0.975,0.743,0.635
1,D4,uncalibrated,-,0.05,0,0.05,0.984,0.547,0.499
2,v1,conformal,all,0.1,707,0.1933,0.964,1.475,0.869
2,v1,conformal,recent4,0.1,707,0.1933,0.964,1.475,0.869
2,v1,conformal,recent2,0.1,293,0.3067,0.928,1.842,0.918
2,v1,uncalibrated,-,0.1,0,0.1,0.987,1.011,0.757
2,v1,conformal,all,0.05,707,0.1233,0.977,1.177,0.814
2,v1,conformal,recent4,0.05,707,0.1233,0.977,1.177,0.814
2,v1,conformal,recent2,0.05,293,0.24,0.951,1.662,0.892
2,v1,uncalibrated,-,0.05,0,0.05,1.0,0.624,0.536
2,D4,conformal,all,0.1,707,0.2033,0.968,1.492,0.882
2,D4,conformal,recent4,0.1,707,0.2033,0.968,1.492,0.882
2,D4,conformal,recent2,0.1,293,0.3267,0.924,1.88,0.926
2,D4,uncalibrated,-,0.1,0,0.1,0.989,1.019,0.766
2,D4,conformal,all,0.05,707,0.11,0.985,1.072,0.789
2,D4,conformal,recent4,0.05,707,0.11,0.985,1.072,0.789
2,D4,conformal,recent2,0.05,293,0.24,0.96,1.633,0.903
2,D4,uncalibrated,-,0.05,0,0.05,0.996,0.627,0.561
3,v1,conformal,all,0.1,610,0.38,0.921,2.006,0.949
3,v1,conformal,recent4,0.1,474,0.38,0.921,2.006,0.949
3,v1,conformal,recent2,0.1,210,0.4667,0.884,2.149,0.959
3,v1,uncalibrated,-,0.1,0,0.1,0.994,0.967,0.727
3,v1,conformal,all,0.05,610,0.2533,0.961,1.631,0.91
3,v1,conformal,recent4,0.05,474,0.2433,0.963,1.601,0.908
3,v1,conformal,recent2,0.05,210,0.2833,0.953,1.754,0.929
3,v1,uncalibrated,-,0.05,0,0.05,1.0,0.56,0.491
3,D4,conformal,all,0.1,610,0.3067,0.916,1.747,0.912
3,D4,conformal,recent4,0.1,474,0.2967,0.925,1.709,0.906
3,D4,conformal,recent2,0.1,210,0.3667,0.882,1.921,0.943
3,D4,uncalibrated,-,0.1,0,0.1,0.99,0.986,0.743
3,D4,conformal,all,0.05,610,0.2167,0.957,1.479,0.888
3,D4,conformal,recent4,0.05,474,0.1967,0.965,1.397,0.87
3,D4,conformal,recent2,0.05,210,0.2167,0.957,1.479,0.888
3,D4,uncalibrated,-,0.05,0,0.05,1.0,0.593,0.532
4,v1,conformal,all,0.1,701,0.46,0.915,2.074,0.918
4,v1,conformal,recent4,0.1,491,0.4267,0.923,2.032,0.913
4,v1,conformal,recent2,0.1,255,0.4833,0.913,2.114,0.923
4,v1,uncalibrated,-,0.1,0,0.1,0.997,0.987,0.72
4,v1,conformal,all,0.05,701,0.2833,0.974,1.751,0.892
4,v1,conformal,recent4,0.05,491,0.2833,0.974,1.751,0.892
4,v1,conformal,recent2,0.05,255,0.2833,0.974,1.751,0.892
4,v1,uncalibrated,-,0.05,0,0.05,1.0,0.608,0.553
4,D4,conformal,all,0.1,701,0.19,0.937,1.299,0.804
4,D4,conformal,recent4,0.1,491,0.1967,0.934,1.312,0.81
4,D4,conformal,recent2,0.1,255,0.2033,0.931,1.32,0.812
