category_id,category_name,n_test,時代(%),チャンネル(%),内容(%),未説明(%),内容R2
17,Sports,243,4.7,34.4,13.5,47.4,0.215
27,Education,137,6.9,22.4,17.8,52.9,0.21
10,Music,336,12.2,19.9,11.9,56.1,0.171
28,Science&Technology,185,9.7,26.4,10.2,53.6,0.157
26,Howto&Style,293,17.3,17.9,9.6,55.2,0.144
22,People&Blogs,245,8.3,24.8,10.8,56.2,0.127
1,Film&Animation,148,11.3,32.7,8.3,47.8,0.115
24,Entertainment,829,13.9,23.0,6.2,56.9,0.098
20,Gaming,51,25.4,8.2,2.5,63.9,0.036
23,Comedy,250,5.0,38.8,2.6,53.6,0.033
15,Pets&Animals,66,5.4,25.4,-0.3,69.5,-0.015
25,News&Politics,235,16.7,16.3,-0.4,67.4,-0.177
