fold,config,accuracy,adj1,macroF1,低_f1,newch_n,newch_acc,newch_rho,vocab
0,RF_content_tt,0.444,0.792,0.432,0.533,391.0,0.379,0.319,
0,DAN_content_tt,0.437,0.793,0.435,0.533,391.0,0.361,0.247,2882.0
0,DAN_content_ttd,0.446,0.857,0.447,0.565,391.0,0.376,0.444,5170.0
0,DAN_full_ttd,0.435,0.789,0.427,0.425,391.0,0.228,0.262,5170.0
1,RF_content_tt,0.481,0.836,0.457,0.395,168.0,0.327,0.425,
1,DAN_content_tt,0.446,0.846,0.442,0.461,168.0,0.31,0.221,3818.0
1,DAN_content_ttd,0.468,0.873,0.467,0.5,168.0,0.435,0.307,6577.0
1,DAN_full_ttd,0.512,0.901,0.47,0.379,168.0,0.292,0.05,6577.0
2,RF_content_tt,0.437,0.844,0.412,0.324,81.0,0.358,0.349,
2,DAN_content_tt,0.464,0.861,0.426,0.247,81.0,0.42,0.352,4382.0
2,DAN_content_ttd,0.481,0.873,0.454,0.347,81.0,0.333,0.338,7387.0
2,DAN_full_ttd,0.479,0.905,0.437,0.305,81.0,0.346,0.27,7387.0
3,RF_content_tt,0.418,0.823,0.416,0.418,93.0,0.323,0.265,
3,DAN_content_tt,0.377,0.829,0.369,0.303,93.0,0.366,0.267,4699.0
3,DAN_content_ttd,0.413,0.864,0.404,0.336,93.0,0.344,0.346,7965.0
3,DAN_full_ttd,0.409,0.874,0.385,0.289,93.0,0.323,0.286,7965.0
4,RF_content_tt,0.492,0.897,0.497,0.603,47.0,0.468,0.301,
4,DAN_content_tt,0.489,0.876,0.495,0.556,47.0,0.426,0.257,5046.0
4,DAN_content_ttd,0.45,0.857,0.45,0.463,47.0,0.298,0.169,8526.0
4,DAN_full_ttd,0.529,0.913,0.533,0.562,47.0,0.34,0.259,8526.0
5,RF_content_tt,0.375,0.9,0.349,0.182,,,,
5,DAN_content_tt,0.3,0.775,0.288,0.222,,,,5270.0
5,DAN_content_ttd,0.25,0.8,0.237,0.182,,,,8896.0
5,DAN_full_ttd,0.275,0.85,0.22,0.0,,,,8896.0
