cat_group,n,n_test,merged,members,R2,MAPE
-1,840,168,True,"2,19,29,43",0.87525493816651,27.295422655819735
1,2080,416,False,1,0.9797817703099763,25.757963435709925
10,5275,1055,False,10,0.9881077675364986,25.51529699558805
15,802,161,False,15,0.9214688232504126,20.302021981569162
17,1998,400,False,17,0.9790432796197308,34.25261718219477
20,714,143,False,20,0.9855296534752306,13.186504534716514
22,2892,579,False,22,0.9883799109190563,26.917579989092204
23,3147,630,False,23,0.9530202900578336,21.81516402532104
24,9351,1871,False,24,0.9868713036789426,33.398385840426826
25,2444,489,False,25,0.884247333229929,34.74686778740131
26,3966,794,False,26,0.9567844685125311,20.078174172932933
27,1554,311,False,27,0.9531433975377964,18.389738786124916
28,2173,435,False,28,0.9789712873680976,26.24626595062499
