fold,model,accuracy,adj1,macroF1,低F1,AUC,rho
0,L1_formula,0.417,0.911,0.422,0.459,,0.603
0,L2_rf6,0.437,0.891,0.45,0.475,,0.606
0,L3_logit2,0.741,,,,0.801,0.6
1,L1_formula,0.518,0.922,0.51,0.476,,0.672
1,L2_rf6,0.525,0.907,0.521,0.51,,0.685
1,L3_logit2,0.755,,,,0.845,0.67
2,L1_formula,0.462,0.903,0.417,0.222,,0.613
2,L2_rf6,0.46,0.89,0.423,0.269,,0.603
2,L3_logit2,0.736,,,,0.794,0.602
3,L1_formula,0.42,0.857,0.409,0.427,,0.581
3,L2_rf6,0.44,0.882,0.432,0.376,,0.589
3,L3_logit2,0.688,,,,0.788,0.576
4,L1_formula,0.46,0.876,0.467,0.633,,0.657
4,L2_rf6,0.481,0.915,0.487,0.531,,0.697
4,L3_logit2,0.733,,,,0.813,0.656
5,L1_formula,0.45,0.8,0.361,0.182,,0.325
5,L2_rf6,0.425,0.85,0.414,0.4,,0.425
5,L3_logit2,0.6,,,,0.667,0.3
