fold,model,R2_raw,R2_log,MAPE,MdAPE,rho
0,L1_chanmean,0.111,0.291,5309.4,73.6,0.603
0,L2_rf6_num,0.354,0.271,5402.1,76.5,0.598
1,L1_chanmean,0.191,0.427,4365.8,58.7,0.672
1,L2_rf6_num,0.612,0.429,8101.3,56.6,0.684
2,L1_chanmean,0.226,-0.05,5673.1,57.3,0.613
2,L2_rf6_num,0.558,0.037,11078.7,63.2,0.614
3,L1_chanmean,0.148,-0.041,63.8,58.5,0.581
3,L2_rf6_num,-0.032,0.228,156.5,82.6,0.59
4,L1_chanmean,0.308,0.089,63.7,60.0,0.657
4,L2_rf6_num,0.062,0.352,147.3,73.6,0.69
5,L1_chanmean,-0.077,-0.701,61.4,62.1,0.325
5,L2_rf6_num,-0.337,-0.051,142.6,66.9,0.428
