title_length,count
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,3
10,4
11,5
12,5
13,13
14,11
15,11
16,12
17,25
18,32
19,42
20,30
21,46
22,48
23,56
24,46
25,53
26,73
27,81
28,65
29,79
30,84
31,66
32,95
33,104
34,105
35,92
36,114
37,111
38,103
39,119
40,107
41,126
42,143
43,129
44,133
45,125
46,124
47,124
48,135
49,120
50,113
51,130
52,119
53,105
54,112
55,100
56,99
57,96
58,102
59,98
60,77
61,70
62,71
63,79
64,81
65,66
66,57
67,76
68,63
69,62
70,50
71,57
72,57
73,52
74,44
75,40
76,48
77,57
78,36
79,35
80,48
81,25
82,29
83,28
84,34
85,25
86,31
87,24
88,27
89,21
90,28
91,32
92,23
93,19
94,23
95,22
96,25
97,25
98,23
99,30
100,22
