word,count
the,1587
to,671
of,520
in,518
with,461
official,454
on,393
and,391
2018,339
video,284
how,277
for,276
trailer,263
is,259
you,253
my,240
from,195
at,187
2017,176
what,169
it,168
new,160
first,144
vs,143
this,143
live,137
hd,134
ft,121
me,114
why,111
we,110
show,108
game,107
by,107
music,107
about,104
his,102
day,102
makeup,101
star,100
your,99
audio,97
10,97
world,93
black,93
full,90
out,90
espn,90
her,87
up,87
time,86
are,85
will,84
best,83
movie,83
that,82
all,82
make,81
challenge,80
james,79
christmas,77
do,77
news,77
season,75
trump,74
wars,70
last,69
super,69
netflix,66
one,64
highlights,64
john,64
top,63
love,63
can,63
year,62
after,62
bowl,62
get,62
life,61
not,60
review,60
like,59
take,59
an,58
night,57
as,57
house,57
man,56
more,55
most,55
lyric,54
look,54
made,53
nfl,52
or,52
stephen,51
teaser,51
off,50
ever,50
test,50
week,50
be,50
have,49
face,49
down,49
beauty,48
watch,48
part,48
so,48
real,47
talk,46
who,46
when,46
american,46
feat,46
diy,45
was,45
things,45
awards,45
home,44
people,44
don,44
react,44
making,43
nba,43
big,43
snl,43
jedi,43
he,42
cake,42
commercial,42
food,41
into,41
smith,41
perfect,41
has,40
if,40
every,40
cat,40
refinery29,40
episode,39
makes,39
box,39
tried,38
battle,38
everything,38
does,38
no,38
baby,37
old,36
their,36
inside,36
golden,36
questions,36
behind,36
tour,36
school,36
gets,35
our,35
over,35
voice,35
war,35
nbc,35
plays,35
white,35
story,34
bbc,34
goes,34
dog,33
panther,33
jimmy,33
try,32
lebron,32
got,32
cast,32
youtube,32
tv,31
kevin,31
here,31
kids,31
know,31
000,31
ball,31
go,31
see,30
bts,30
us,30
apple,30
tutorial,30
wild,30
dead,30
vogue,30
re,29
never,29
kim,29
kardashian,29
meghan,29
back,29
giant,29
girl,29
special,29
red,29
during,29
national,29
hot,29
chris,29
honest,29
open,28
league,28
family,28
holiday,28
stars,28
talks,28
today,28
mom,28
now,28
interview,28
ice,28
wired,28
cardi,27
wedding,27
march,27
avengers,27
she,27
performance,27
iphone,27
olympics,27
hart,27
infinity,27
royal,26
scenes,26
lip,26
team,26
being,26
trailers,26
fox,26
minutes,26
tom,26
car,26
marvel,26
president,26
15,26
18,26
11,26
grace,26
harry,25
justin,25
prince,25
adam,25
high,25
women,25
slow,25
tbs,25
scene,25
announcement,25
dad,25
secret,25
him,24
ellen,24
song,24
ready,24
michael,24
winter,24
hair,24
bad,24
shooting,24
room,24
little,24
wrong,24
graham,24
fair,23
ep,23
getting,23
bon,23
miss,23
13,23
just,23
scott,23
only,23
disney,22
history,22
raw,22
need,22
14,22
camila,22
breaks,22
chocolate,22
view,22
should,22
vanity,22
16,21
dance,21
amazon,21
king,21
idol,21
boy,21
let,21
fire,21
film,21
google,21
cabello,21
paul,21
fashion,21
fan,21
using,21
earth,21
sports,21
kelly,21
appétit,21
shows,21
meet,21
while,21
says,20
12,20
heart,20
speech,20
press,20
studios,20
america,20
won,20
bought,20
florida,20
final,20
falcon,20
makeover,20
24,20
theory,20
donald,20
mendes,20
days,20
taylor,20
wwhl,19
surprise,19
sean,19
shawn,19
david,19
line,19
routine,19
fake,19
explained,19
years,19
state,19
money,19
win,19
college,19
play,19
party,19
stop,19
much,19
speaks,19
they,19
conan,19
coming,19
did,19
blind,18
takes,18
again,18
ad,18
brown,18
woman,18
actually,18
call,18
shopping,18
through,18
artist,18
simon,18
abc,18
train,18
4k,18
space,18
before,18
timberlake,18
30,18
hbo,18
light,18
jennifer,18
dodo,18
eating,18
ed,18
cooking,18
moore,18
markle,18
come,18
norton,18
justice,18
nick,18
japanese,18
heavy,18
globes,18
good,18
jenner,17
hannah,17
tesla,17
bill,17
between,17
easy,17
helbig,17
movies,17
york,17
too,17
hit,17
weird,17
grammys,17
under,17
lost,17
kitchen,17
water,17
kate,17
future,17
mirror,17
city,17
queen,17
could,17
cover,17
cut,17
second,16
dan,16
spicy,16
charlie,16
expensive,16
magic,16
two,16
january,16
anthem,16
remix,16
very,16
pizza,16
jones,16
kylie,16
preview,16
warriors,16
kimmel,16
products,16
gadgets,16
were,16
kendrick,16
really,16
end,16
reacts,16
motion,16
tech,16
name,16
dogs,16
sheeran,16
other,16
these,16
daily,16
ones,16
parents,16
emotional,16
guide,16
moments,16
wwe,16
nyc,16
greatest,16
dancing,16
eagles,16
roy,15
casey,15
century,15
riverdale,15
jordan,15
johnson,15
jessica,15
huge,15
17,15
reveal,15
robot,15
reveals,15
internet,15
instagram,15
sings,15
swift,15
way,15
larry,15
deep,15
tell,15
street,15
store,15
but,15
spot,15
mo,15
secrets,15
million,15
away,15
mean,15
matt,15
april,15
mark,15
pregnancy,15
update,15
machine,15
fall,15
ve,15
answers,15
less,15
football,15
hawaii,15
girls,14
