channel_title,avg_views,video_count
ChildishGambinoVEVO,31648454,1
DrakeVEVO,24421448,1
FoxStarHindi,21198722,2
Kylie Jenner,20921796,1
David Dobrik,16884972,1
jypentertainment,12479557,7
ibighit,12245039,8
Ed Sheeran,10890771,5
Logan Paul Vlogs,10698617,4
Intuit,10008678,1
JenniferLopezVEVO,9548677,1
Dude Perfect,9002021,12
YouTube Spotlight,8730781,3
Calvin Klein,8532222,1
Global Road Entertainment,8244248,1
TheWeekndVEVO,7831865,1
TaylorSwiftVEVO,7682388,4
Blossom,7566372,1
John Lewis,7224515,1
BeckyGVEVO,6978753,1
Conor Maynard,6952956,1
ZaynVEVO,6760045,2
Clash of Clans,6173038,1
Sony Pictures Entertainment,6144295,8
J. Cole,6045117,1
ArianaGrandeVevo,5866985,3
How It Should Have Ended,5590430,1
Collins Key,5275682,1
Clash Royale,5203755,2
HarryStylesVEVO,5114138,2
Marvel Entertainment,5010714,16
The ACE Family,4990782,1
EminemVEVO,4920851,1
Vevo,4866576,1
OVO Sound,4569886,1
PewDiePie,4523214,1
Apple,4509129,3
WINNER,4443529,1
Lele Pons,4304400,8
NickyJamTV,4276470,2
Bethesda Softworks,4239111,1
Cardi B,4223448,2
TRYANGLE FILMS,4196683,1
Call of Duty,4104360,2
JayRockVEVO,4014741,1
Mason Ramsey,3961637,1
5-Minute Crafts,3907732,3
Primitive Survival Tool,3895714,2
Mnet K-POP,3853250,2
Disney•Pixar,3761679,3
DreamWorksTV,3733256,1
Coachella,3598220,1
SiaVEVO,3578666,3
The Action Lab,3563379,4
MGM,3543813,1
FifthHarmonyVEVO,3539843,1
CelineDionVEVO,3533914,1
TheAngryGrandpaShow,3531622,2
Gorillaz,3490465,1
gameslice,3483553,1
How Ridiculous,3377833,4
Walt Disney Animation Studios,3246662,2
The Weeknd,3233699,1
Lucas and Marcus,3212765,2
Bud Light,3199087,1
Paramount Pictures,3150119,7
Primitive Technology,3144759,3
MLG Highlights,3125635,8
jacksepticeye,3102031,2
nigahiga,3088978,6
SpaceX,3084044,4
videogamedunkey,3074397,2
shane,3041770,2
Super Netvid,3014847,1
Universal Pictures,3004367,14
CamilaCabelloVEVO,2873757,4
BackstreetBoysVEVO,2822391,1
Troom Troom,2795627,2
PressTube,2793456,2
20th Century Fox,2787022,16
Andre Will Do It,2769297,1
BANGTANTV,2745464,4
Liza Koshy,2735054,6
Chris Rosa,2729389,1
TWICE JAPAN OFFICIAL YouTube Channel,2721293,1
Ben Kronengold,2711851,1
Safiya Nygaard,2706939,17
Queen Naija,2699316,3
BLACKPINK,2638161,1
OK Go,2618344,1
America's Got Talent,2605130,3
KendrickLamarVEVO,2592084,5
Wouldn't Change a Thing,2583247,1
GEazyMusicVEVO,2563426,4
JonTronShow,2519348,1
Maroon5VEVO,2476053,3
Battlefield,2474393,1
New Amsterdam,2469801,1
PetaPixel,2457408,1
Dragonfoxgirl,2448025,1
Brat,2437554,1
MBCentertainment,2415639,1
BostonDynamics,2408152,4
LastWeekTonight,2403971,4
LiamPayneVEVO,2394224,2
FiftyShadesVEVO,2393825,1
Hulu,2389977,6
amazon,2376600,2
Unbox Therapy,2357982,7
Jaiden Animations,2350534,5
MrBeast,2348594,1
Jake Paul,2329992,2
Lil Wayne,2313884,1
Lionsgate Movies,2286260,5
Liverpool FC,2266235,1
Tiffany Day,2239777,1
Vat19,2227658,1
Ariana Grande`,2208587,1
CalvinHarrisVEVO,2204031,2
Cobra Kai,2188261,3
justintimberlakeVEVO,2156592,6
FailArmy,2154298,1
FamilyFeud,2106397,1
Fortnite,2080488,2
Sidemen,2072042,2
Manifest,2061448,1
Shawn Mendes,2054359,4
Pepsi,2047212,2
Britain's Got Talent,2026491,9
RiceGum,2016536,1
Liza Koshy Too,1997859,3
Manny Mua,1983832,2
TMZSports,1982776,2
Adult Swim,1980168,1
HALO,1969012,1
HowToBasic,1966278,2
Simply Nailogical,1961950,12
PHP,1959044,1
Warner Bros. Pictures,1949605,22
The Game Theorists,1945381,5
sWooZie,1931851,1
The Film Theorists,1910895,11
Science Magazine,1890582,1
Marshmello,1886261,3
Shay Mitchell,1885595,2
The New Yorker,1883102,2
Samsung,1868552,1
Diplo,1857404,4
JennaMarbles,1837717,4
ABC News (Australia),1831122,2
Whistle Sports,1820947,1
RomanAtwoodVlogs,1814500,2
Budweiser,1814436,2
Tanner Braungardt,1803724,1
Kurzgesagt – In a Nutshell,1795404,9
WWE,1788305,34
CBS Films,1786869,1
NFVEVO,1774018,1
jeffreestar,1759793,3
Daniel Howell,1757966,1
Zero Media,1751064,1
Alesso,1747740,1
Lucas the Spider,1736791,5
Michael Dapaah,1721960,2
BuzzFeed Celeb,1718991,5
Boldly,1710860,5
Domics,1709026,6
Adam Smith,1697125,1
Pinball Wiz,1692774,1
Disney Movie Trailers,1682290,7
Beyonce,1671461,1
Gordon Ramsay,1666250,2
UMF TV,1648886,1
NikkieTutorials,1646072,12
League of Legends,1644037,1
Bad Lip Reading,1641180,8
adidas Football,1624478,1
AsapSCIENCE,1617297,13
KatyPerryVEVO,1608831,2
CaseyNeistat,1602609,12
ShawnMendesVEVO,1599466,5
Beats by Dre,1590675,2
Jason Derulo,1573905,3
Rudy Mancuso,1566377,7
Ram Trucks,1534871,2
Daily Dose Of Internet,1527775,4
Reaction Time,1523626,1
James Charles,1521078,14
Lil Peep,1514148,1
MasterClass,1513004,1
Anthem Game,1504564,1
Legendary,1500108,1
Star Wars,1495182,14
Hometalk,1489944,1
Mark Rober,1487690,4
"But First, Coffee",1485647,1
A Chick Called Albert,1481728,1
SZAVEVO,1466428,3
MITCHELL WIGGS,1458959,1
dope2111,1456472,1
Philip DeFranco,1454892,2
Discovery UK,1438954,2
Rita Ora,1430352,2
Prime Video,1421492,1
Martin Garrix,1418342,1
Matt Stonie,1415734,6
FaZe Rug,1403514,5
CinemaSins,1400726,14
Dobre Brothers,1400683,1
Dale Dai,1392244,1
DanTDM,1380723,3
The Royal Family,1379675,1
Saturday Night Live,1375285,33
Focus Features,1351522,7
Hannah Stocking,1334770,11
Land Rover,1333918,1
PinkVEVO,1329093,2
