video_id,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20
2kyS6SvSYSE,0.10421827,0.08022238,0.16332854,0.08023765,0.07139974,-0.013305485,0.16946365,0.06340437,-0.07482735,-0.009242848,0.02984839,-0.09851956,0.037582677,-0.03674134,0.13054949,-0.05491276,-0.1452801,0.26201773,0.059554003,0.18748339
1ZAPwfrtAFY,-0.041899443,-0.16770169,0.21272507,0.061936118,-0.015962979,-0.17273694,-0.054969147,0.20110126,0.013497265,0.0635869,-0.17264643,-0.07731559,0.017868597,0.22139712,-0.053526714,-0.0044406857,0.0022426108,-0.09079939,-0.008927609,0.093071334
5qpjK5DgCt4,-0.049105167,-0.05588215,0.09563164,0.04713001,0.041748896,-0.038633227,-0.2340977,-0.10869828,0.12507798,-0.21755712,0.10001925,0.19608228,-0.024255274,-0.062446516,-0.23253024,-0.057115227,0.00843362,0.057884857,-0.05297533,0.087159425
puqaWrEC7tY,-0.20955873,0.09652044,-0.024887761,0.059151225,0.06324247,0.10801736,-0.09029727,0.04456626,0.095894866,-0.12689713,0.12815303,0.026811788,0.03659824,-0.054559506,-0.07584248,-0.0026248358,-0.07116529,-0.0077694366,-0.12783556,-0.01670652
d380meD0W0M,0.1710593,0.10492493,0.10357061,-0.09550911,0.07899413,0.08567485,-0.0950513,-0.11080186,-0.037214905,0.1132843,0.06375666,-0.13835672,0.075709164,0.05061597,-0.017393364,0.059493136,0.011609669,0.053060267,-0.012779503,0.0985067
gHZ1Qz0KiKM,0.09849556,-0.055698205,0.035855975,-0.07072112,-0.08779389,0.2043823,0.26037318,0.16049372,0.13158317,-0.008877397,0.098224744,-0.09175219,0.06281932,0.031822007,0.047700867,0.09876319,0.022848848,-0.051713835,-0.117667876,0.043804236
39idVpFF7NQ,0.012896642,-0.12573427,0.19196424,0.18620989,-0.0371476,-0.14033028,-0.17239922,0.018469498,0.08584225,-0.0153120905,-0.11660516,0.0033422243,-0.08285588,0.20604472,0.10482448,-0.07034092,0.16886587,0.037315145,-0.0692317,0.09491736
nc99ccSXST0,0.3165677,0.14617895,-0.25786117,-0.041938365,-0.17592382,-0.012251511,-0.16617455,0.08281231,0.08237441,0.08350948,0.0658838,0.07425974,-0.036147982,0.08654632,0.18537815,0.028958008,-0.046248265,-0.19793977,-0.050077878,-0.031582575
jr9QtXwC9vc,-0.16514751,-0.30435982,0.0661882,-0.07563977,-0.06794023,-0.08641516,-0.09601736,0.042585474,0.12914003,0.09738731,-0.04571356,0.007484887,-0.1099924,0.12901512,-0.08485898,0.075655796,0.11786604,-0.10234297,0.034077853,-0.03680929
TUmyygCMMGA,0.18872653,-0.2311347,-0.08226079,0.02772253,0.17452615,0.15338193,0.05547192,0.0041671097,0.07340873,-0.081346996,0.001575768,0.086929336,-0.03710686,0.14381619,0.047011912,0.060205072,-0.16736662,-0.054963153,0.021687198,-0.10486436
9wRQljFNDW8,-0.10711202,-0.10911296,-0.003501444,0.17953302,-0.18367213,-0.070312664,0.080130145,0.0068817176,-0.052130476,0.054189555,-0.043301366,-0.31155348,0.071488366,-0.13310999,0.024967657,-0.03057875,0.023066565,-0.10952689,0.116600364,0.15499982
VifQlJit6A0,-0.12133664,-0.20393418,0.0492216,-0.093626484,0.1896345,-0.017018273,0.010173339,0.053599432,-0.15476425,-0.05500836,-0.07635953,-0.13119134,0.01588061,0.04540785,-0.053564943,-0.024598071,-0.04572368,0.10447694,-0.076603435,-0.07691847
5E4ZBSInqUU,-0.38715756,0.068022884,-0.26710236,0.097487226,-0.069248766,0.08581234,-0.103137076,0.09662385,-0.02792828,0.0992756,-0.022947598,0.065502256,-0.021335324,-0.04185535,-0.09268531,-0.110401385,-0.07791955,-0.093348436,-0.008577268,-0.07232175
GgVmn66oK_A,0.16028252,-0.108629934,-0.04375328,0.08708586,0.09017659,0.08901779,0.17329209,0.07648367,-0.07108583,-0.14168689,0.026256278,0.0852086,0.1613399,0.1423117,-0.03392721,0.034188677,-0.024768177,-0.078969836,-0.06902652,-0.06540339
TaTleo4cOs8,0.25207502,-0.011510801,-0.16421494,-0.07841319,0.008249204,-0.16228062,0.14643326,0.09577581,0.033188812,0.11069966,0.028109558,-0.03659614,-0.012753408,-0.093938395,0.035617575,0.16137078,0.21660484,0.041044272,-0.093170814,0.1506272
ZAQs-ctOqXQ,0.024357647,-0.18316676,-0.11644355,0.008848675,-0.1002915,-0.067722514,0.0024706908,-0.14207147,-0.054442726,-0.17464586,-0.006765183,0.084446706,0.069345534,0.024694268,0.05153776,-0.030021792,0.007095075,0.02980244,0.009281067,-0.09988057
YVfyYrEmzgM,0.06834752,0.1083554,0.17074512,0.043488428,0.16848928,0.12191324,-0.015421279,0.019595271,-0.06360806,-0.03179936,0.10998289,-0.018373698,0.18105221,0.046802975,0.060039915,0.013084455,0.034696355,-0.063949116,0.13622698,0.056989748
eNSN6qet1kE,0.18435112,0.03256646,-0.22245535,-0.0037460774,-0.07297072,0.06611328,-0.05436983,0.09604417,0.042303964,-0.067844875,-0.03992957,-0.03132674,-0.20652287,0.015800335,0.1305206,-0.022951974,0.12244944,0.08711905,0.055334803,-0.14611396
B5HORANmzHw,0.22914842,-0.018454295,0.025080385,0.075491704,0.15476239,0.01628238,0.11121519,-0.024958622,0.009659564,-0.049395934,-0.08863273,0.039530315,-0.049097016,0.00984472,0.009204607,0.007212924,-0.10387828,0.017588202,0.13416307,0.019808171
vU14JY3x81A,0.16792679,0.11520602,-0.05108565,0.06036945,0.1653972,0.13814802,0.036543623,-0.05020683,-0.044213228,-0.024271764,-0.037068658,-0.051925555,0.011233214,-0.018030548,0.061470486,0.05269943,-0.06805401,0.111612245,0.021946624,-0.0933211
6VhU_T463sU,0.07009305,-0.055395875,0.06587057,-0.1944395,0.033781104,0.038430817,-0.08788055,-0.2000741,-0.14392866,-0.10095546,0.01312428,-0.05539842,-0.019428711,0.0059117926,-0.27333036,-0.061849453,0.059575617,0.1518881,-0.016531281,0.033098124
_-aDHxoblr4,0.10908373,-0.08483512,0.09081904,0.17573602,0.14541674,0.23698336,0.029432394,0.13491358,0.14168882,0.017878443,0.020247892,-0.027320223,0.05449948,0.03681086,0.06401388,-0.06798383,0.14024997,0.12144993,0.19363149,0.03809233
JBZTZZAcFTw,0.12963846,0.007721795,-0.11908089,-0.13111034,-0.21568146,-0.09446387,0.19445038,0.12162559,0.21091546,-0.10942477,-0.12397078,0.0263626,-0.00798443,-0.10014008,0.09511549,0.056842394,0.14214627,0.037697874,0.019579118,0.08025875
lZ68j2J_GOM,0.24198754,0.0797131,0.09088259,0.041727237,0.038792662,0.116064586,0.03746821,-0.029278595,0.03281568,0.06332115,-0.024215814,-0.093002774,0.08446419,-0.02155058,0.073594905,-0.07347617,0.06896881,0.12078904,-0.0346557,-0.026717504
fcVjitaM3LY,0.17890987,-0.009277855,-0.0746072,0.12827519,-0.04302572,-0.0066943094,0.07364488,-0.04359832,0.01076729,-0.07396056,-0.04171972,0.1361241,0.029085789,0.05974005,0.03768111,-0.03230703,-0.09224524,-0.09206034,-0.014232176,0.16298087
qeWvgZLz9yU,0.34691632,0.107324764,0.003982039,0.03791162,0.06526779,-0.0073588863,-0.10408285,-0.015668273,-0.043586366,-0.072441846,0.0886963,0.025297595,0.041130934,0.09677541,0.013197148,-0.051201142,0.03258485,-0.026723266,-0.09367038,0.019305674
iIxy3JN3-jc,0.09758362,-0.08667391,0.19119443,0.31206024,-0.04781152,-0.022158347,-0.06399087,-0.0044530295,0.12908743,-0.19833028,0.13827722,-0.041978627,-0.00028266385,-0.22664204,-0.06863803,-0.030872272,-0.1594208,-0.043483865,0.048460636,0.09972822
U0hAC8O7RoI,0.16586967,-0.047189597,-0.118939154,-0.0060924143,-0.029839855,-0.007075593,0.17218891,0.09990865,0.14377627,-0.06524256,0.111199245,-0.040531255,-0.057690017,0.008772334,-0.010439085,0.21159248,0.2588002,0.08319213,0.14497764,0.07657612
CBVGjS_EJok,-0.038410246,-0.05694869,-0.20075099,-0.11865404,-0.107455306,-0.14139372,0.09808956,0.14728732,0.23117734,0.15341786,0.11642039,0.045175947,-0.22997516,0.08496899,-0.17363794,-0.030984433,-0.16055807,-0.12396115,-0.0320628,-0.059733015
hz7ukDjuq4w,0.16323477,-0.116900206,-0.1214054,-0.07435462,0.12131116,0.08817634,-0.08392848,-0.053835895,0.22322722,0.013485044,-0.074999645,-0.035936773,-0.109372735,-0.14131407,0.05049365,-0.06655199,0.076019645,-0.084420964,0.019551229,0.062187534
p2hJxyF7mok,0.14520329,-0.08076603,-0.13591032,-0.004781604,-0.21081331,0.042687368,0.105728924,0.011048567,0.09568168,-0.14681886,-0.08547581,0.070229106,0.011556696,0.037625212,0.0375562,0.048442673,0.08998032,0.026665516,-0.0070356475,0.09136772
