,,,,coverage,coverage,coverage,mean_floor,mean_floor,mean_floor,informative_rate,informative_rate,informative_rate
,,,,mean,min,max,mean,min,max,mean,min,max
target,method,window,alpha,,,,,,,,,
D4,conformal,all,0.05,0.971,0.953,0.985,0.961,0.413,1.479,0.713,0.391,0.888
D4,conformal,all,0.1,0.934,0.905,0.968,1.217,0.647,1.747,0.792,0.576,0.912
D4,conformal,recent2,0.05,0.966,0.953,0.975,1.072,0.413,1.633,0.739,0.391,0.903
D4,conformal,recent2,0.1,0.918,0.882,0.942,1.334,0.647,1.921,0.813,0.576,0.943
D4,conformal,recent4,0.05,0.973,0.953,0.985,0.947,0.413,1.397,0.71,0.391,0.87
D4,conformal,recent4,0.1,0.935,0.905,0.968,1.213,0.647,1.709,0.792,0.576,0.906
D4,uncalibrated,-,0.05,0.987,0.947,1.0,0.537,0.425,0.627,0.487,0.375,0.561
D4,uncalibrated,-,0.1,0.963,0.882,0.992,0.91,0.778,1.019,0.719,0.638,0.766
v1,conformal,all,0.05,0.963,0.945,0.977,1.246,0.438,1.775,0.77,0.414,0.975
v1,conformal,all,0.1,0.93,0.906,0.964,1.565,0.617,2.275,0.834,0.555,0.975
v1,conformal,recent2,0.05,0.957,0.945,0.974,1.353,0.438,1.775,0.788,0.414,0.975
v1,conformal,recent2,0.1,0.922,0.884,0.95,1.628,0.617,2.149,0.845,0.555,0.975
v1,conformal,recent4,0.05,0.964,0.945,0.977,1.241,0.438,1.775,0.77,0.414,0.975
v1,conformal,recent4,0.1,0.935,0.906,0.964,1.529,0.617,2.1,0.833,0.555,0.975
v1,uncalibrated,-,0.05,0.988,0.945,1.0,0.566,0.438,0.624,0.514,0.414,0.575
v1,uncalibrated,-,0.1,0.965,0.862,1.0,0.931,0.776,1.011,0.729,0.642,0.8
