K,predicted_class,n_pred,floor_rate
3,0,121,1.0
3,1,284,0.9647887323943662
3,2,759,0.8221343873517787
4,0,81,1.0
4,1,178,0.9943820224719101
4,2,268,0.9291044776119403
4,3,637,0.7598116169544741
5,0,63,1.0
5,1,126,0.9920634920634921
5,2,152,0.9013157894736842
5,3,333,0.8468468468468469
5,4,490,0.7326530612244898
10,0,16,1.0
10,1,58,1.0
10,2,35,0.9714285714285714
10,3,72,0.9722222222222222
10,4,96,0.8229166666666666
10,5,71,0.8591549295774648
10,6,128,0.7890625
10,7,206,0.6990291262135923
10,8,306,0.5947712418300654
10,9,176,0.7954545454545454
