fold,model,R2_log,MAE_log,spearman,MdAPE%,PI90_coverage,PI90_width_factor
0,CH_only,0.275,1.403,0.58,75.1,,
0,RF_log,0.254,1.404,0.58,76.4,,
0,RF_ratio,0.255,1.41,0.58,75.6,0.875,293.7
1,CH_only,0.394,1.007,0.661,60.8,,
1,RF_log,0.371,0.991,0.674,57.1,,
1,RF_ratio,0.362,0.999,0.677,58.1,0.952,340.6
2,CH_only,-0.172,1.189,0.581,62.6,,
2,RF_log,-0.312,1.178,0.581,59.3,,
2,RF_ratio,-0.33,1.193,0.579,59.5,0.857,91.6
3,CH_only,-0.244,1.182,0.563,62.2,,
3,RF_log,-0.252,1.147,0.561,64.2,,
3,RF_ratio,0.004,1.017,0.575,61.5,0.872,77.6
4,CH_only,-0.181,1.21,0.608,66.2,,
4,RF_log,-0.165,1.143,0.614,62.9,,
4,RF_ratio,0.311,0.901,0.639,65.0,0.907,51.6
5,CH_only,-1.197,1.275,0.217,71.2,,
5,RF_log,-1.152,1.203,0.386,69.4,,
5,RF_ratio,-0.09,0.893,0.452,58.4,0.875,40.9
