fold,model,R2_raw,R2_log,MdAPE,rho
0,A_acct_time,0.354,0.273,76.6,0.6
0,B_+title_tags,0.338,0.271,76.7,0.608
0,C_+description,0.33,0.274,75.1,0.612
1,A_acct_time,0.564,0.424,55.3,0.681
1,B_+title_tags,0.544,0.418,55.5,0.686
1,C_+description,0.53,0.417,56.2,0.687
2,A_acct_time,0.547,0.095,62.7,0.61
2,B_+title_tags,0.529,0.081,64.4,0.62
2,C_+description,0.51,0.09,65.0,0.617
3,B_+title_tags,-0.075,0.26,77.8,0.613
4,C_+description,0.335,0.381,73.8,0.698
3,A_acct_time,-0.015,0.234,82.1,0.587
3,C_+description,0.153,0.269,77.0,0.597
4,B_+title_tags,0.202,0.399,71.7,0.703
4,A_acct_time,0.144,0.352,79.5,0.694
