accuracy,adj1,macroF1,低_support,低_f1,fold,method,n_test,label
0.421,0.735,0.41,263,0.444,0,D4_baseline,1029,D4基準(名義4クラスRF)
0.428,0.731,0.414,263,0.422,0,ordinal,1029,ordinal(累積二値分類×3)
0.42,0.733,0.405,263,0.351,0,quantile,1029,quantile(GBR分位点回帰+閾値切り)
0.54,0.866,0.509,80,0.469,1,D4_baseline,707,D4基準(名義4クラスRF)
0.535,0.86,0.509,80,0.5,1,ordinal,707,ordinal(累積二値分類×3)
0.528,0.868,0.481,80,0.367,1,quantile,707,quantile(GBR分位点回帰+閾値切り)
0.473,0.884,0.411,24,0.23,2,D4_baseline,474,D4基準(名義4クラスRF)
0.475,0.871,0.414,24,0.23,2,ordinal,474,ordinal(累積二値分類×3)
0.513,0.886,0.42,24,0.136,2,quantile,474,quantile(GBR分位点回帰+閾値切り)
0.411,0.87,0.393,54,0.337,3,D4_baseline,491,D4基準(名義4クラスRF)
0.399,0.862,0.384,54,0.341,3,ordinal,491,ordinal(累積二値分類×3)
0.432,0.886,0.394,54,0.261,3,quantile,491,quantile(GBR分位点回帰+閾値切り)
0.54,0.899,0.542,55,0.634,4,D4_baseline,378,D4基準(名義4クラスRF)
0.513,0.905,0.517,55,0.635,4,ordinal,378,ordinal(累積二値分類×3)
0.476,0.913,0.443,55,0.347,4,quantile,378,quantile(GBR分位点回帰+閾値切り)
