title_length,count
42,143
48,135
44,133
51,130
43,129
41,126
45,125
47,124
46,124
49,120
52,119
39,119
36,114
50,113
54,112
37,111
40,107
53,105
34,105
33,104
38,103
58,102
55,100
56,99
59,98
57,96
32,95
35,92
30,84
27,81
64,81
29,79
63,79
60,77
67,76
26,73
62,71
61,70
65,66
31,66
28,65
68,63
69,62
66,57
71,57
72,57
77,57
23,56
25,53
73,52
70,50
76,48
80,48
22,48
24,46
21,46
74,44
19,42
75,40
78,36
79,35
84,34
91,32
18,32
86,31
20,30
99,30
82,29
83,28
90,28
88,27
17,25
81,25
96,25
97,25
85,25
87,24
92,23
94,23
98,23
95,22
100,22
89,21
93,19
13,13
16,12
15,11
14,11
12,5
11,5
10,4
9,3
7,1
6,1
