word,count
the,3048
show,1369
to,1355
funny,1287
video,1242
news,1102
of,996
how,982
makeup,938
new,932
2018,897
comedy,845
and,837
music,753
late,715
live,701
food,633
best,571
trailer,571
youtube,560
movie,558
in,556
night,490
ellen,481
2017,480
interview,473
game,467
james,466
tv,463
first,460
star,442
on,428
black,425
world,422
you,417
life,414
videos,412
with,399
challenge,391
review,391
vs,391
official,390
season,388
talk,383
nbc,381
celebrity,377
smith,375
entertainment,374
sp,372
beauty,371
tutorial,368
up,365
for,358
cat,358
it,351
my,344
iphone,342
make,335
stephen,333
movies,331
what,331
nba,328
science,325
super,314
diy,310
me,307
television,302
christmas,296
react,295
family,290
wars,289
sports,288
highlights,277
netflix,273
humor,273
dog,271
top,270
is,269
espn,267
trump,266
channel,263
john,263
pop,262
take,254
jimmy,254
school,253
love,253
hollywood,249
recipe,248
basketball,245
series,245
voice,242
man,240
comedian,239
will,238
test,238
american,237
football,237
snl,236
film,235
kids,235
none,231
home,231
games,228
buzzfeed,227
song,225
vlog,225
fallon,223
day,223
fashion,222
us,222
celebrities,222
house,222
hair,221
cooking,220
time,219
watch,219
last,217
full,216
wwe,214
bowl,209
cake,205
york,203
disney,201
your,199
high,197
red,197
all,195
do,191
face,189
jokes,188
hot,185
car,182
chris,182
awards,181
colbert,181
today,181
olympics,179
episode,179
tonight,179
kardashian,179
out,176
apple,176
team,175
lebron,174
tour,174
10,171
records,171
animation,170
education,169
clip,169
try,168
water,168
com,168
big,167
corden,167
get,166
jedi,163
kim,163
online,163
graham,162
marvel,161
baby,161
cbs,161
fox,160
animals,160
documentary,159
cute,158
people,157
cats,157
celeb,156
talent,156
stand,156
tech,155
fun,155
real,155
art,154
alex,154
this,152
kitchen,151
paul,151
we,150
noggin,150
amazing,149
sketch,149
degeneres,148
link,148
box,147
dance,147
one,147
david,145
morning,145
perfect,145
ice,145
adam,144
liza,143
things,143
monologue,143
nfl,142
king,141
design,141
ever,141
michael,140
seth,140
winter,140
google,139
no,139
chocolate,139
story,139
rhett,139
comedic,139
cook,139
animated,137
charlie,137
space,137
donald,137
animal,136
good,136
war,136
amazon,135
ryan,134
raw,134
tom,133
easy,133
health,132
wedding,131
hacks,131
room,130
laugh,130
royal,129
white,129
kevin,128
panther,127
00,127
anthony,127
drama,126
green,126
bbc,126
now,126
commercial,125
parody,125
fire,125
every,125
golden,124
action,123
magazine,123
at,123
complex,123
famous,123
bts,123
kelly,123
chef,122
theory,122
breaking,122
politics,122
highlight,122
ball,121
meyers,121
holiday,121
cosmetics,121
daily,121
style,119
technology,119
be,119
mythical,118
scott,118
rock,118
brothers,118
by,117
history,116
friendly,116
women,115
mark,115
simon,115
reaction,115
kylie,114
lip,114
kimmel,114
joke,114
original,114
league,113
city,113
girl,113
norton,113
travel,112
america,112
street,112
cardi,110
play,110
meghan,110
jack,109
artist,109
puth,108
wrestling,108
lilly,107
harry,107
are,107
nail,106
clark,106
jenner,105
battle,105
hilarious,105
honest,105
recipes,105
pizza,104
fine,104
safiya,104
money,103
johnson,103
sexual,102
skin,102
dude,101
avengers,100
year,100
vlogs,100
prince,100
taylor,100
singh,100
latest,99
plays,99
hart,98
rescue,98
president,98
reality,98
routine,98
jones,97
grace,97
warriors,96
jordan,96
vox,96
brown,96
ted,95
secret,95
steve,95
vogue,95
makeover,95
baking,95
host,94
weird,94
don,93
fans,93
pro,93
from,93
air,93
trailers,93
infinity,93
haul,93
musical,93
media,92
parents,92
look,92
or,92
ed,92
random,92
camila,92
not,91
deadpool,91
week,91
la,91
young,90
taste,90
letterman,90
tips,90
state,90
men,90
lifestyle,89
kid,89
ad,89
lyrics,89
fortnite,89
koshy,89
jennifer,89
satire,89
model,88
doctor,88
foundation,88
ben,88
charles,88
why,87
kate,87
giant,87
times,86
happens,85
sean,85
national,85
nick,85
like,85
country,84
dancing,84
bros,84
female,84
bill,84
gadgets,84
party,83
interviews,83
know,83
impressions,83
cavaliers,83
r29,83
variety,82
tasty,81
boy,81
refinery29,81
press,81
culture,81
instagram,81
florida,81
west,80
nyc,80
that,80
queen,80
tesla,80
fail,80
cheese,80
friends,80
jr,79
los,79
wired,79
dan,79
bon,79
products,79
12,79
cheap,78
dogs,78
washington,78
who,78
free,78
pictures,78
finals,78
evans,78
off,78
justice,77
girls,77
gift,77
galaxy,76
unboxing,76
back,76
wild,76
japanese,76
korea,76
phone,76
blake,76
shooting,76
tmz,75
usa,75
perry,75
promo,75
puppy,75
angeles,75
mike,75
ti,75
fair,75
sketches,75
homemade,75
cartoon,74
ready,74
living,74
15,74
office,74
singing,74
katy,74
college,74
tickets,74
bottle,74
matt,73
learn,73
earth,73
slow,73
shawn,73
gordon,73
camera,73
got,72
teaser,72
joe,72
abc,72
update,72
thompson,72
cool,72
dating,72
trending,72
logan,72
power,72
actor,71
album,71
spider,71
dark,71
luke,71
future,71
viral,71
bass,71
cabello,71
originals,71
shape,70
insider,70
weekend,70
mendes,70
motion,70
eating,70
blue,70
audience,70
